,Country,Year,Annual COƒ??,Share of global COƒ?? emissions (%),GHG(tonnes COƒ??e ),AverageTemperature,GDP,Population,GDP_per_capita
3147,Serbia,1993,37740784.05,0.1704,56010000.0,10.414416666666666,22.17628669738769,7706118.0,2877.750729665403
3148,Serbia,1994,36698427.69,0.1629,52350000.0,11.682250000000003,22.751739501953125,7700799.0,2954.464790205941
3149,Serbia,1995,38775202.1,0.1685,58880000.0,10.276166666666667,24.04564476013184,7691299.0,3126.343776276522
3150,Serbia,1996,45392750.37,0.193,66440000.0,9.824916666666665,24.62903022766113,7707798.0,3195.339346939441
3151,Serbia,1997,48792684.32,0.204,71220000.0,9.984,26.39858436584473,7693798.0,3431.151216323164
3152,Serbia,1998,51379641.86,0.2142,70940000.0,10.568333333333333,27.04018974304199,7675298.0,3523.0149686750915
3153,Serbia,1999,35440108.3,0.1481,53600000.0,10.917250000000003,23.755727767944336,7677153.0,3094.340801589383
3154,Serbia,2000,39380545.58,0.1604,55560000.0,11.791000000000002,25.59898376464844,7604335.0,3366.3671793323724
3155,Serbia,2001,42277557.56,0.1682,57650000.0,10.913166666666669,26.87706756591797,7548376.0,3560.6423906172618
3156,Serbia,2002,45173016.78,0.1772,60950000.0,11.413416666666668,28.78958320617676,7544319.0,3816.061225165155
3157,Serbia,2003,48298465.12,0.1798,63910000.0,10.795499999999999,30.06076431274414,7535230.0,3989.362542715238
3158,Serbia,2004,52737826.27,0.1871,69300000.0,10.6165,32.780216217041016,7522560.0,4357.587871288632
3159,Serbia,2005,49879228.71,0.1705,61680000.0,9.922583333333334,34.596378326416016,7502197.0,4611.4995815780385
3160,Serbia,2006,53759585.19,0.1775,4080000.0,10.574166666666665,36.29310607910156,7476102.0,4854.549346584833
3161,Serbia,2007,52185841.74,0.16899999999999998,3560000.0,11.745916666666664,38.430320739746094,7447093.0,5160.445926987362
3162,Serbia,2008,51789739.64,0.1625,1610000.0,11.666333333333334,40.49275207519531,7413882.0,5461.747580443729
3163,Serbia,2009,45926000.32,0.1457,-440000.0,11.41216666666667,39.23101043701172,7379339.0,5316.331237392906
3164,Serbia,2010,45696360.0,0.1382,-500000.0,10.9925,39.46030807495117,7344847.0,5372.516006793766
3165,Serbia,2011,48957080.0,0.1425,67390000.0,10.823,40.013328552246094,7310555.0,5473.363999346984
3166,Serbia,2012,43724476.0,0.1252,62370000.0,11.451750000000002,39.60708618164063,7276604.0,5443.072919955604
3167,Serbia,2013,44545828.0,0.1265,63050000.0,12.843625,40.625675201416016,7243007.0,5608.951530961659
3168,Seychelles,1990,150224.0,0.0007,220000.0,27.22008333333334,0.5242623686790466,70800.0,7404.835715805743
3169,Seychelles,1991,172208.0,0.0008,240000.0,27.329666666666668,0.5387342572212219,71649.0,7519.075733383886
3170,Seychelles,1992,172208.0,0.0008,240000.0,26.95316666666667,0.5773155689239502,72501.0,7962.863531867839
3171,Seychelles,1993,183200.0,0.0008,250000.0,26.964583333333337,0.6130897998809814,73318.0,8362.063884461953
3172,Seychelles,1994,201520.0,0.0009,270000.0,27.301833333333335,0.608193039894104,74133.0,8204.079693174484
