Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,573284 BCE,252.08
World,OWID_WRL,572856 BCE,251.86
World,OWID_WRL,572415 BCE,251.77
World,OWID_WRL,571963 BCE,248.72
World,OWID_WRL,571526 BCE,249.19
World,OWID_WRL,571104 BCE,247.66
World,OWID_WRL,570720 BCE,246.31
World,OWID_WRL,570366 BCE,250.3
World,OWID_WRL,570025 BCE,251.6
World,OWID_WRL,569683 BCE,249.6
World,OWID_WRL,569311 BCE,251.8
World,OWID_WRL,568912 BCE,251.8
World,OWID_WRL,568513 BCE,251.3
World,OWID_WRL,568117 BCE,250
World,OWID_WRL,567734 BCE,251.3
World,OWID_WRL,567365 BCE,250.2
World,OWID_WRL,566980 BCE,253
World,OWID_WRL,566584 BCE,252.8
World,OWID_WRL,566254 BCE,253.9
World,OWID_WRL,565935 BCE,253.2
World,OWID_WRL,565599 BCE,254.5
World,OWID_WRL,565289 BCE,253.9
World,OWID_WRL,564968 BCE,254.3
World,OWID_WRL,564639 BCE,253.7
World,OWID_WRL,564295 BCE,251.4
World,OWID_WRL,563946 BCE,252.6
World,OWID_WRL,563589 BCE,252.4
World,OWID_WRL,563184 BCE,251.4
World,OWID_WRL,562774 BCE,247.6
World,OWID_WRL,562361 BCE,245.8
World,OWID_WRL,561978 BCE,245.7
World,OWID_WRL,561586 BCE,242.3
World,OWID_WRL,561185 BCE,240.1
World,OWID_WRL,560706 BCE,234.1
World,OWID_WRL,560360 BCE,234.6
World,OWID_WRL,559938 BCE,231.9
World,OWID_WRL,559501 BCE,231.6
World,OWID_WRL,559016 BCE,228.3
World,OWID_WRL,558487 BCE,230.3
World,OWID_WRL,557923 BCE,230.2
World,OWID_WRL,557687 BCE,229.7
World,OWID_WRL,557366 BCE,234.5
World,OWID_WRL,556828 BCE,238.1
World,OWID_WRL,556356 BCE,240.4
World,OWID_WRL,556205 BCE,245.6
World,OWID_WRL,555888 BCE,250.5
World,OWID_WRL,555707 BCE,244
World,OWID_WRL,555435 BCE,249.1
World,OWID_WRL,555249 BCE,243
World,OWID_WRL,554973 BCE,241
World,OWID_WRL,554457 BCE,233.9
World,OWID_WRL,553892 BCE,226.7
World,OWID_WRL,553208 BCE,224.3
World,OWID_WRL,552530 BCE,223.6
World,OWID_WRL,551859 BCE,220.3
World,OWID_WRL,551669 BCE,222.1
World,OWID_WRL,551296 BCE,226.3
World,OWID_WRL,551071 BCE,222.3
World,OWID_WRL,550732 BCE,221.7
World,OWID_WRL,550161 BCE,219.9
World,OWID_WRL,549431 BCE,215.2
World,OWID_WRL,548633 BCE,213.6
World,OWID_WRL,548281 BCE,208.8
World,OWID_WRL,547770 BCE,202.5
World,OWID_WRL,546821 BCE,204.6
World,OWID_WRL,545857 BCE,209.7
World,OWID_WRL,544880 BCE,209.6
World,OWID_WRL,543915 BCE,210.3
World,OWID_WRL,542936 BCE,208.1
World,OWID_WRL,541895 BCE,203.6
World,OWID_WRL,540790 BCE,205
World,OWID_WRL,539704 BCE,211.2
World,OWID_WRL,538634 BCE,212.9
World,OWID_WRL,537564 BCE,206.4
World,OWID_WRL,536491 BCE,205
World,OWID_WRL,535384 BCE,199.4
World,OWID_WRL,534228 BCE,199.8
World,OWID_WRL,533745 BCE,190.5
World,OWID_WRL,533094 BCE,193.8
World,OWID_WRL,532718 BCE,195.1
World,OWID_WRL,531982 BCE,200
World,OWID_WRL,531604 BCE,204.4
World,OWID_WRL,531038 BCE,211.4
World,OWID_WRL,530643 BCE,214.5
World,OWID_WRL,530129 BCE,220.7
World,OWID_WRL,529251 BCE,220.3
World,OWID_WRL,528341 BCE,221.2
World,OWID_WRL,527453 BCE,222.7
World,OWID_WRL,526567 BCE,224.7
World,OWID_WRL,525749 BCE,227.8
World,OWID_WRL,524946 BCE,230.3
World,OWID_WRL,524157 BCE,233.7
World,OWID_WRL,523387 BCE,235.8
