,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
74,0.679,0.693,0,-6.227,0,0.0308,0.171,0.0,0.0604,0.792,118.054,audio_features,4JKi7eFEpg8R6LfAWrkdw4,spotify:track:4JKi7eFEpg8R6LfAWrkdw4,https://api.spotify.com/v1/tracks/4JKi7eFEpg8R6LfAWrkdw4,https://api.spotify.com/v1/audio-analysis/4JKi7eFEpg8R6LfAWrkdw4,202006,4
75,0.624,0.9,4,-5.603,0,0.0354,0.0122,0.00283,0.0571,0.792,132.019,audio_features,4HaAvqOYwxJcrcA2UtLSsx,spotify:track:4HaAvqOYwxJcrcA2UtLSsx,https://api.spotify.com/v1/tracks/4HaAvqOYwxJcrcA2UtLSsx,https://api.spotify.com/v1/audio-analysis/4HaAvqOYwxJcrcA2UtLSsx,220653,4
76,0.614,0.758,11,-7.606,1,0.0706,0.244,7.93e-05,0.131,0.377,130.011,audio_features,4vQGXvmJ4SvdMTsrbe7zFz,spotify:track:4vQGXvmJ4SvdMTsrbe7zFz,https://api.spotify.com/v1/tracks/4vQGXvmJ4SvdMTsrbe7zFz,https://api.spotify.com/v1/audio-analysis/4vQGXvmJ4SvdMTsrbe7zFz,273923,4
77,0.533,0.886,11,-6.719,1,0.034,0.0196,0.0115,0.0932,0.159,132.01,audio_features,2wLaCOPVjUF2f8FLZmAQS2,spotify:track:2wLaCOPVjUF2f8FLZmAQS2,https://api.spotify.com/v1/tracks/2wLaCOPVjUF2f8FLZmAQS2,https://api.spotify.com/v1/audio-analysis/2wLaCOPVjUF2f8FLZmAQS2,223636,4
78,0.599,0.924,0,-5.001,1,0.0357,0.0742,1.35e-05,0.179,0.617,140.039,audio_features,05A6Y8KXEsrR7luyzbnmLi,spotify:track:05A6Y8KXEsrR7luyzbnmLi,https://api.spotify.com/v1/tracks/05A6Y8KXEsrR7luyzbnmLi,https://api.spotify.com/v1/audio-analysis/05A6Y8KXEsrR7luyzbnmLi,177107,4
79,0.473,0.838,11,-4.424,1,0.0496,0.115,0.0,0.0622,0.409,169.976,audio_features,3oUG2PXcK7DHLo3cloWDCW,spotify:track:3oUG2PXcK7DHLo3cloWDCW,https://api.spotify.com/v1/tracks/3oUG2PXcK7DHLo3cloWDCW,https://api.spotify.com/v1/audio-analysis/3oUG2PXcK7DHLo3cloWDCW,217412,4
80,0.628,0.755,9,-4.916,0,0.0327,0.00879,0.000104,0.0608,0.571,121.952,audio_features,4aoy2VXgDVE9yR38kX2ogL,spotify:track:4aoy2VXgDVE9yR38kX2ogL,https://api.spotify.com/v1/tracks/4aoy2VXgDVE9yR38kX2ogL,https://api.spotify.com/v1/audio-analysis/4aoy2VXgDVE9yR38kX2ogL,188852,4
81,0.566,0.911,4,-2.314,0,0.0421,0.000275,0.00811,0.0671,0.409,130.004,audio_features,0X0qILvKv4Jfl3bS4aYZx5,spotify:track:0X0qILvKv4Jfl3bS4aYZx5,https://api.spotify.com/v1/tracks/0X0qILvKv4Jfl3bS4aYZx5,https://api.spotify.com/v1/audio-analysis/0X0qILvKv4Jfl3bS4aYZx5,242000,4
82,0.498,0.932,9,-3.257,0,0.0632,0.000351,0.00405,0.194,0.426,125.031,audio_features,4K1lLITCdhb16kaYtmFO8X,spotify:track:4K1lLITCdhb16kaYtmFO8X,https://api.spotify.com/v1/tracks/4K1lLITCdhb16kaYtmFO8X,https://api.spotify.com/v1/audio-analysis/4K1lLITCdhb16kaYtmFO8X,233280,4
83,0.684,0.874,10,-7.638,0,0.0404,0.0885,0.0219,0.0829,0.313,112.989,audio_features,6zDt0IlT09nTe5SmTL5ovv,spotify:track:6zDt0IlT09nTe5SmTL5ovv,https://api.spotify.com/v1/tracks/6zDt0IlT09nTe5SmTL5ovv,https://api.spotify.com/v1/audio-analysis/6zDt0IlT09nTe5SmTL5ovv,269768,4
84,0.591,0.711,9,-5.229,0,0.037,0.000171,0.043,0.0434,0.626,126.062,audio_features,4ZVwtzdOxAhKlJOwYIVcsY,spotify:track:4ZVwtzdOxAhKlJOwYIVcsY,https://api.spotify.com/v1/tracks/4ZVwtzdOxAhKlJOwYIVcsY,https://api.spotify.com/v1/audio-analysis/4ZVwtzdOxAhKlJOwYIVcsY,255476,4
85,0.169,0.906,7,-7.649,1,0.146,0.135,0.0,0.0642,0.454,155.814,audio_features,0f0Q5uC57DdigPDCxRArP3,spotify:track:0f0Q5uC57DdigPDCxRArP3,https://api.spotify.com/v1/tracks/0f0Q5uC57DdigPDCxRArP3,https://api.spotify.com/v1/audio-analysis/0f0Q5uC57DdigPDCxRArP3,165280,4
86,0.627,0.848,10,-5.764,1,0.0593,0.117,9.85e-06,0.139,0.838,125.991,audio_features,1BVXtF0PbQyGTOMdmjfQ71,spotify:track:1BVXtF0PbQyGTOMdmjfQ71,https://api.spotify.com/v1/tracks/1BVXtF0PbQyGTOMdmjfQ71,https://api.spotify.com/v1/audio-analysis/1BVXtF0PbQyGTOMdmjfQ71,214992,4
87,0.586,0.887,11,-5.618,1,0.0295,0.00696,0.07,0.129,0.923,125.958,audio_features,6c6DIbwHih7gVG2oCEc4vv,spotify:track:6c6DIbwHih7gVG2oCEc4vv,https://api.spotify.com/v1/tracks/6c6DIbwHih7gVG2oCEc4vv,https://api.spotify.com/v1/audio-analysis/6c6DIbwHih7gVG2oCEc4vv,216495,4
88,0.577,0.805,6,-5.343,1,0.0331,0.0203,1.48e-05,0.212,0.748,133.023,audio_features,6jWqYwAmSJBne5E5pc7QYS,spotify:track:6jWqYwAmSJBne5E5pc7QYS,https://api.spotify.com/v1/tracks/6jWqYwAmSJBne5E5pc7QYS,https://api.spotify.com/v1/audio-analysis/6jWqYwAmSJBne5E5pc7QYS,217658,4
