,Id,Name,Playlist_Id,Album_Id,Date_added,Duration,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Mode,Track_Number,cluster
547,6br0wmEiw4isdD3GhQ57vx,Te Quiero,7EHzH8D5Fv7EWf76tDTSvH,3XAyEMflBDI6eDhnKikvbd,2015-01-02T10:00:17Z,204000.0,3.0,0.723,0.6970000000000001,-8.687999999999999,0.225,0.0968,0.0,0.0803,0.792,123.13600000000001,0,0,2.0,3
548,7n60awSOWpgzoojBnW4C2o,Peace Or Violence,7EHzH8D5Fv7EWf76tDTSvH,3XAyEMflBDI6eDhnKikvbd,2015-01-02T10:00:17Z,188426.0,2.0,0.493,0.435,-10.158,0.29100000000000004,0.10400000000000001,0.0,0.161,0.418,127.11,6,0,3.0,3
549,4L2bUYqR753ukIW7CU6pty,Rail De Musique,7EHzH8D5Fv7EWf76tDTSvH,3XAyEMflBDI6eDhnKikvbd,2015-01-02T10:00:17Z,248426.0,0.0,0.659,0.805,-8.267000000000001,0.16699999999999998,0.0544,0.0,0.0719,0.61,121.044,7,0,4.0,3
554,4HUmLDQlOFOuauhw3yMm7c,Je Cours,7EHzH8D5Fv7EWf76tDTSvH,3XAyEMflBDI6eDhnKikvbd,2015-01-02T10:00:17Z,195373.0,2.0,0.83,0.614,-9.113999999999999,0.209,0.376,0.000166,0.113,0.8220000000000001,121.016,8,1,9.0,3
557,3ImM99l4NqmnKGPVExNNLx,Alors On Danse - 90's Remix,,3XAyEMflBDI6eDhnKikvbd,2015-01-02T10:00:17Z,171533.0,0.0,0.8540000000000001,0.45,-10.53,0.162,0.0723,0.000906,0.0993,0.71,122.829,1,0,12.0,3
575,21c9vwOjGOhEb1AfZZl7c2,Royals - Acoustic Trumpet Mix,2SScimtgToL52F3sxoFIX6,6AeQrBqBOXBo2jVjfRKbQs,2014-11-14T10:59:15Z,189238.0,2.0,0.858,0.439,-8.926,0.823,0.934,0.9359999999999999,0.0757,0.43799999999999994,84.956,7,1,1.0,3
616,3fgOY3Xrp3rQjOTyxjXMkY,Hold Me We're Going Home - Acoustic Trumpet Mix,2SScimtgToL52F3sxoFIX6,6AeQrBqBOXBo2jVjfRKbQs,2014-11-14T10:59:15Z,211610.0,0.0,0.889,0.305,-8.158,0.17,0.45,0.955,0.094,0.509,99.94,9,1,42.0,3
630,6C3dzW9wasv9K0safs7NzT,The Dirty Side of the Street,5Z8VUi5qQUVkO1HzuZXUq9,38ojnzxpPFT09ee03aCTK7,2013-11-20T11:36:11Z,219000.0,30.0,0.795,0.9690000000000001,-3.6919999999999997,0.273,0.451,0.000356,0.0944,0.716,132.977,8,1,3.0,3
632,7gHkDNieGzYmyuC7E1Xbxw,Rock It for Me,5Z8VUi5qQUVkO1HzuZXUq9,38ojnzxpPFT09ee03aCTK7,2013-11-20T11:36:11Z,191493.0,46.0,0.802,0.951,-3.9330000000000003,0.18899999999999997,0.48200000000000004,0.00305,0.319,0.695,106.01899999999999,10,0,5.0,3
634,6b5uymxUFq8cv2LPm8hUST,Newbop,5Z8VUi5qQUVkO1HzuZXUq9,38ojnzxpPFT09ee03aCTK7,2013-11-20T11:36:11Z,171360.0,27.0,0.855,0.86,-5.3629999999999995,0.299,0.105,0.0105,0.0806,0.486,109.98899999999999,11,1,7.0,3
