text,retweets,replies,tweet_interactions
3,2488,537,3025
3,3644,1350,4994
2,91,51,142
2,182,143,325
6,19720,4940,24660
5,251072,29765,280837
1,431,138,569
1,2028,663,2691
4,11589,1576,13165
9,4199,1054,5253
12,20347,3033,23380
9,5403,2219,7622
34,11072,4480,15552
24,22232,3358,25590
2,1213,192,1405
2,103,77,180
4,4689,847,5536
1,1080,254,1334
5,18028,2222,20250
3,4965,1318,6283
11,8137,2250,10387
1,17,31,48
5,5503,946,6449
3,4325,815,5140
6,6176,1573,7749
7,7962,2468,10430
1,16,60,76
18,12244,2950,15194
2,5210,480,5690
3,3352,955,4307
14,35091,5909,41000
8,6251,1853,8104
6,4456,1543,5999
4,24970,6416,31386
1,1021,349,1370
1,1017,495,1512
2,3720,1311,5031
1,8814,1375,10189
2,1091,837,1928
4,68471,7383,75854
13,8787,3161,11948
1,906,429,1335
6,7046,1288,8334
13,20645,4956,25601
2,52,56,108
6,5186,1169,6355
1,499,158,657
8,74897,9585,84482
5,2888,777,3665
2,156,87,243
7,14734,2546,17280
2,6280,1378,7658
1,21,28,49
5,5323,1278,6601
8,5563,1195,6758
10,9518,2424,11942
4,10411,1396,11807
1,3031,520,3551
4,7965,1644,9609
1,6102,693,6795
1,718,347,1065
5,24357,1541,25898
8,4879,1991,6870
1,304,163,467
11,7047,1388,8435
9,51066,6562,57628
1,1869,746,2615
6,6704,1841,8545
3,3349,539,3888
8,725,580,1305
4,4969,964,5933
3,5261,1717,6978
4,6175,1243,7418
6,22881,3420,26301
12,7238,1870,9108
2,132,98,230
11,7039,1232,8271
17,55301,7037,62338
1,3523,881,4404
4,408,314,722
5,7334,1783,9117
9,53044,7162,60206
1,4050,1265,5315
2,227,147,374
2,14385,1870,16255
4,11730,1435,13165
1,32,28,60
4,958,644,1602
1,88,69,157
1,3911,256,4167
1,3135,626,3761
3,3330,949,4279
4,6409,1179,7588
2,2647,1044,3691
3,5747,803,6550
7,37281,5838,43119
2,131,89,220
1,3270,1009,4279
8,26926,3034,29960
19,12346,3085,15431
2,5243,940,6183
6,7115,1600,8715
1,1053,585,1638
1,20,18,38
9,2812,1356,4168
2,2174,1009,3183
1,1356,388,1744
2,3999,440,4439
2,3412,1051,4463
8,7550,4053,11603
2,362,120,482
3,1891,373,2264
3,6338,1867,8205
4,9627,3576,13203
2,8191,2433,10624
1,361,167,528
1,26467,1880,28347
2,91275,3641,94916
1,2495,424,2919
2,28089,3720,31809
1,1931,378,2309
4,15014,3020,18034
2,132294,11313,143607
3,15120,4018,19138
1,19,52,71
1,1365,645,2010
1,7464,1145,8609
1,16,31,47
1,363,411,774
3,89466,6843,96309
2,1553,209,1762
5,43593,5361,48954
7,10294,2268,12562
7,25797,5364,31161
13,10405,5659,16064
1,21162,1856,23018
3,4400,1121,5521
5,14809,3811,18620
1,1970,2521,4491
2,19275,2728,22003
4,1636,1463,3099
5,6821,1551,8372
2,1502,2089,3591
3,132,89,221
1,10020,1122,11142
7,31642,4364,36006
12,41826,9090,50916
9,134490,13593,148083
7,45625,11770,57395
2,111,102,213
12,15476,16343,31819
1,68,114,182
2,10003,4085,14088
1,19512,2829,22341
4,16851,4648,21499
1,3144,807,3951
2,240,211,451
1,43,55,98
1,98,83,181
2,99,140,239
1,45,119,164
1,13720,2190,15910
1,11014,1450,12464
15,183431,21648,205079
8,23026,4089,27115
1,665,708,1373
6,14257,3956,18213
6,33087,6196,39283
5,70539,5579,76118
3,29615,5402,35017
1,6237,682,6919
8,47927,8349,56276
13,317005,35853,352858
5,63546,13033,76579
3,14463,4845,19308
14,1406,680,2086
1,826,339,1165
2,3879,2236,6115
1,11865,1885,13750
1,9405,661,10066
5,12924,2457,15381
13,31423,6749,38172
1,984,372,1356
2,788,269,1057
6,16672,3982,20654
1,51,53,104
1,2842,1409,4251
4,723,330,1053
1,9734,1541,11275
2,3388,669,4057
5,19391,4208,23599
6,34255,4655,38910
11,53892,6987,60879
4,5653,4444,10097
3,32471,4649,37120
1,20,61,81
6,5646,3713,9359
3,2804,734,3538
1,138,94,232
1,925,752,1677
2,1678,963,2641
2,4081,872,4953
11,9384,2101,11485
20,28942,4968,33910
2,4220,989,5209
1,2456,1266,3722
8,10508,3116,13624
3,12135,2744,14879
4,9096,2812,11908
4,3946,1866,5812
4,7175,1885,9060
9,55496,12275,67771
9,6923,2329,9252
3,4793,1601,6394
2,2549,532,3081
4,22368,3906,26274
2,2515,742,3257
9,2735,1090,3825
3,5478,2031,7509
2,295,239,534
1,20,50,70
2,409,259,668
6,9358,1985,11343
6,27090,6165,33255
2,6177,2145,8322
3,2961,2198,5159
3,33938,2297,36235
1,18,29,47
4,99712,16033,115745
2,8681,1050,9731
1,1959,427,2386
2,933,197,1130
2,2961,1982,4943
1,211,121,332
6,8447,2483,10930
1,574,409,983
17,12335,4918,17253
11,68392,29125,97517
7,26103,4769,30872
4,5691,2461,8152
3,1469,187,1656
12,3548,2001,5549
7,2651,930,3581
