date,text,retweets,replies,favorites,tweet_interactions
2015-09-14,3,4100,463,8193,12756
2015-09-23,2,838,363,3598,4799
2015-09-25,1,419,141,1762,2322
2015-09-27,1,1591,131,1848,3570
2015-09-29,2,3782,379,5572,9733
2015-09-30,1,758,233,2069,3060
2015-10-02,8,2429,475,5037,7941
2015-10-03,1,1824,244,3980,6048
2015-10-09,4,4536,745,8685,13966
2015-10-10,2,1212,167,2089,3468
2015-10-11,10,2545,374,4959,7878
2015-10-14,2,21,10,90,121
2015-10-15,3,933,106,3644,4683
2015-10-17,2,196,41,1263,1500
2015-10-19,1,847,179,1897,2923
2015-10-21,12,2233,2652,5944,10829
2015-10-22,3,91,154,682,927
2015-10-23,4,2543,373,4967,7883
2015-10-25,7,1379,326,3957,5662
2015-10-26,3,537,127,1793,2457
2015-10-27,1,235,91,1310,1636
2015-10-29,2,1333,181,2251,3765
2015-10-30,1,6,2,64,72
2015-11-01,1,60,21,390,471
2015-11-02,1,33,16,226,275
2015-11-04,1,16,33,163,212
2015-11-08,1,32,18,163,213
2015-11-20,6,7828,1379,12586,21793
2015-11-24,8,6007,679,12967,19653
2015-12-02,1,332,115,1092,1539
2015-12-03,1,1576,183,2364,4123
2015-12-04,1,25,10,160,195
2015-12-06,1,146,25,742,913
2015-12-09,1,700,61,1666,2427
2015-12-10,2,1324,217,3459,5000
2015-12-11,1,3678,246,4358,8282
2015-12-17,1,521,84,1117,1722
2015-12-18,11,2310,783,8542,11635
2015-12-19,4,3085,597,8399,12081
2015-12-20,1,1098,202,2590,3890
2015-12-21,1,1818,229,2866,4913
2015-12-22,8,52384,3768,92186,148338
2016-01-01,1,4803,534,10270,15607
2016-01-02,1,874,260,3018,4152
2016-01-10,3,8981,1011,15355,25347
2016-01-11,1,1127,127,4365,5619
2016-01-12,2,2837,330,6382,9549
2016-01-16,2,1567,322,5547,7436
2016-01-17,10,12451,2286,28432,43169
2016-01-18,2,8227,1288,9802,19317
2016-01-19,1,1440,394,5176,7010
2016-01-20,1,47,53,244,344
2016-01-23,1,268,72,1267,1607
2016-02-03,1,2338,970,9236,12544
2016-02-05,1,1877,295,5099,7271
2016-02-10,2,1945,247,5289,7481
2016-02-11,6,4910,854,11745,17509
2016-02-16,3,4355,575,10523,15453
2016-02-17,1,13,14,81,108
2016-02-18,4,1709,354,8788,10851
2016-02-19,3,8996,1081,11223,21300
2016-02-20,1,747,34,3511,4292
2016-02-21,3,2018,282,7185,9485
2016-02-23,1,53,18,140,211
2016-02-24,2,5054,498,7678,13230
2016-02-27,4,40,20,317,377
2016-02-28,2,1130,227,2037,3394
2016-02-29,1,1823,310,2463,4596
2016-03-01,3,1618,238,4130,5986
2016-03-02,4,2068,355,5949,8372
2016-03-04,1,73,23,225,321
2016-03-05,3,6067,993,17022,24082
2016-03-06,2,3797,337,10243,14377
2016-03-09,3,2392,393,7525,10310
2016-03-18,2,11,13,144,168
2016-03-19,1,11,12,88,111
2016-03-20,1,967,168,2638,3773
2016-03-29,1,2556,616,8835,12007
2016-03-30,5,6290,651,14269,21210
2016-03-31,11,11034,1988,26154,39176
2016-04-01,14,26707,2890,55531,85128
2016-04-02,12,10662,2465,35121,48248
2016-04-03,37,13569,4280,48023,65872
2016-04-04,8,567,448,5337,6352
2016-04-05,3,1707,280,6743,8730
2016-04-06,6,394,186,2324,2904
2016-04-07,2,4365,670,9711,14746
2016-04-08,7,5380,708,21150,27238
2016-04-09,4,7079,1431,36441,44951
